Gene,Pathway,Tissue,GDR,Mutation,D1,D2,D3,D4,D5,D6
G37675,Pathway2,Brain,Noevidence,992,0.42,4.8,2.98,4.76,62.3,57
G39410,Pathway3,Breast,Limited,1076,0.41,4.84,2.89,4.81,59.9,58
G41313,Pathway3,Blood,Noevidence,1213,0.41,4.78,2.97,4.83,61.8,54
G29155,Pathway4,Breast,Moderate,693,0.38,4.65,2.89,4.69,61.9,54
G5642,Pathway6,Breast,Moderate,3880,0.9,6.12,3.81,6.18,62,61
G14729,Pathway4,Breast,Strong,605,0.3,4.24,2.68,4.26,63.1,56
G39796,Pathway1,Breast,Noevidence,1095,0.38,4.64,2.91,4.68,62.4,56
G8222,Pathway6,Brain,Limited,4372,1.06,6.5,4.03,6.52,61.9,59
G9540,Pathway1,Breast,Noevidence,4619,0.8,5.94,3.72,5.98,62.4,56
G1161,Pathway2,Lymphnode,Moderate,2925,0.51,5.03,3.2,5.08,63.3,58
G34,Pathway2,Breast,Moderate,402,0.23,4.01,2.4,4.06,59.5,58
G3976,Pathway2,Brain,Moderate,3510,0.9,6.11,3.86,6.17,62.9,57
G49881,Pathway5,Brain,Limited,2176,0.7,5.8,3.48,5.75,60.3,55
G32326,Pathway4,Blood,Strong,789,0.3,4.23,2.68,4.25,63.2,58
G53689,Pathway4,Brain,Moderate,2716,0.82,6.02,3.78,5.97,63.1,52
G44683,Pathway1,Brain,Limited,1610,0.5,5.08,3.09,5.04,61.1,59
G53303,Pathway1,Brain,Noevidence,552,0.3,4.29,2.68,4.33,62.2,55
G42411,Pathway1,Lymphnode,Noevidence,1310,0.31,4.42,2.69,4.39,61.1,56
G33081,Pathway2,Breast,Limited,814,0.3,4.37,2.61,4.3,60.2,57
G35823,Pathway3,Lymphnode,Noevidence,914,0.31,4.37,2.67,4.4,60.9,56
G52072,Pathway2,Brain,Moderate,2455,0.71,5.68,3.53,5.72,61.9,56
G12370,Pathway2,Kidney,Noevidence,597,0.26,4.13,2.56,4.18,61.6,57
G34432,Pathway4,Lymphnode,Noevidence,863,0.3,4.31,2.7,4.33,62.5,54
G42694,Pathway5,Liver,Noevidence,1338,0.54,5.28,3.19,5.33,60.1,57
G7767,Pathway4,Breast,Strong,4284,0.91,6.07,3.9,6.24,63.4,54
G6266,Pathway1,Skin,Noevidence,4012,0.87,6.15,3.79,6.2,61.4,54
G47676,Pathway1,Liver,Limited,1882,0.51,5.16,3.14,5.12,61.1,59
G31970,Pathway3,Breast,Noevidence,452,0.26,4.08,2.55,4.1,62.3,56
G24653,Pathway5,Liver,Limited,12992,1.7,7.61,4.7,7.57,61.9,60
G21333,Pathway4,Kidney,Limited,9475,1.2,7,4.15,6.91,59.7,60
G51233,Pathway4,Brain,Noevidence,2352,0.7,5.69,3.55,5.64,62.7,57
G25415,Pathway5,Kidney,Strong,14146,1.7,7.52,4.77,7.61,63.1,57
G25126,Pathway7,Liver,Limited,13675,2,8.11,4.97,8.06,61.5,59
G38662,Pathway1,Brain,Limited,1040,0.42,4.79,2.97,4.77,62.1,59
G11449,Pathway4,Brain,Limited,5006,1.01,6.48,3.96,6.44,61.3,59
G28076,Pathway1,Breast,Noevidence,661,0.3,4.3,2.68,4.34,62,54
G20022,Pathway6,Brain,Moderate,421,0.32,4.36,2.7,4.4,61.6,61
G51714,Pathway2,Skin,Moderate,2401,0.72,5.72,3.58,5.79,62.2,59
G6277,Pathway6,Brain,Strong,4015,1,6.31,4.01,6.37,63.2,56
G52903,Pathway6,Breast,Noevidence,2586,0.72,5.74,3.6,5.78,62.5,55
G28987,Pathway6,Breast,Noevidence,685,0.41,4.78,2.97,4.82,61.9,55
G32813,Pathway1,Liver,Noevidence,805,0.34,4.47,2.75,4.5,61.3,57
G38133,Pathway4,Blood,Moderate,1013,0.3,4.31,2.71,4.28,63.1,58
G14997,Pathway4,Liver,Limited,6040,1.07,6.54,4.05,6.48,62.2,58
G34183,Pathway4,Breast,Limited,854,0.33,4.42,2.74,4.39,62.2,58
G6172,Pathway3,Brain,Limited,3992,0.9,6.16,3.86,6.13,62.8,59
G23173,Pathway5,Liver,Limited,11188,1.51,7.4,4.52,7.36,61.2,58
G37771,Pathway2,Liver,Noevidence,999,0.41,4.79,2.94,4.75,61.6,55
G12849,Pathway2,Breast,Strong,5356,0.9,6.27,3.73,6.32,59.3,56
G814,Pathway7,Brain,Limited,2863,0.91,6.4,3.74,6.18,59.5,62
G5554,Pathway2,Skin,Moderate,3857,1.01,6.49,3.86,6.51,59.4,59
G2065,Pathway6,Kidney,Limited,561,0.32,4.35,2.7,4.38,61.9,59
G49159,Pathway4,Blood,Noevidence,2070,0.5,5.12,3.18,5.1,62.2,56
G44028,Pathway2,Brain,Noevidence,1546,0.51,5.1,3.19,5.07,62.7,55
G20053,Pathway3,Liver,Limited,625,0.31,4.35,2.67,4.37,61.2,58
G613,Pathway3,Breast,Noevidence,2839,0.7,5.73,3.57,5.71,62.4,53
G6319,Pathway7,Brain,Noevidence,4028,1.16,6.83,4.13,6.77,60.7,57
G16363,Pathway1,Brain,Noevidence,608,0.33,4.43,2.77,4.44,62.5,54
G15149,Pathway3,Liver,Strong,6089,1.01,6.32,3.97,6.38,62.5,62
G7511,Pathway1,Skin,Noevidence,4241,0.9,6.24,3.8,6.26,60.8,56
G47677,Pathway1,Liver,Noevidence,1882,0.51,5.19,3.21,5.12,62.3,55
G33163,Pathway4,Blood,Noevidence,816,0.31,4.37,2.66,4.4,60.7,57
G23483,Pathway3,Brain,Limited,11484,1.5,7.31,4.5,7.34,61.4,59
G24538,Pathway3,Brain,Noevidence,12828,1.62,7.5,4.68,7.44,62.7,56
G7132,Pathway7,Brain,Limited,4173,1.08,6.62,4.02,6.57,61,60
G47443,Pathway5,Skin,Strong,1856,0.7,5.58,3.55,5.55,63.8,57
G34740,Pathway3,Breast,Noevidence,876,0.32,4.44,2.75,4.43,62,54
G37697,Pathway7,Blood,Limited,994,0.41,4.75,2.94,4.71,62.2,59
G45957,Pathway3,Liver,Noevidence,1723,0.56,5.28,3.28,5.29,62.1,57
G16297,Pathway5,Kidney,Limited,6520,1.32,7.05,4.31,7.01,61.3,58
G16992,Pathway2,Liver,Noevidence,6787,1.01,6.44,3.97,6.38,61.9,55
G4292,Pathway3,Blood,Limited,3587,0.7,5.68,3.5,5.63,61.9,60
G23947,Pathway4,Skin,Limited,12081,1.82,7.94,4.83,7.83,61.3,58
G34072,Pathway2,Breast,Noevidence,851,0.35,4.53,2.81,4.55,61.9,56
G38994,Pathway1,Kidney,Noevidence,1054,0.34,4.51,2.77,4.53,61.3,56
G39475,Pathway2,Breast,Noevidence,1079,0.41,4.77,2.97,4.8,62.1,55
G10188,Pathway3,Skin,Limited,4737,1.33,7.17,4.31,7.11,60.4,60
G31157,Pathway2,Brain,Strong,755,0.41,4.69,2.99,4.73,63.5,57
G30123,Pathway4,Liver,Noevidence,720,0.32,4.42,2.75,4.38,62.5,56
G53677,Pathway2,Liver,Limited,2711,0.71,5.68,3.54,5.72,62.1,59
G37378,Pathway3,Breast,Limited,982,0.4,4.73,2.91,4.75,61.4,58
G53028,Pathway6,Brain,Moderate,2602,0.82,6.01,3.66,6.08,60.5,58
G43425,Pathway4,Liver,Definitive,1415,0.35,5.57,3.66,5.53,65.9,54
G23949,Pathway7,Brain,Moderate,12084,2.01,7.99,4.93,8.02,61.6,60
G19569,Pathway3,Breast,Limited,8196,1.21,6.88,4.22,6.82,61.6,58
G1550,Pathway3,Breast,Strong,3002,0.72,5.68,3.61,5.63,63.8,58
G34973,Pathway2,Blood,Moderate,472,0.23,3.89,2.41,3.91,61.8,59
G23726,Pathway2,Blood,Moderate,633,0.25,4.04,2.52,4.06,62.3,55
G14840,Pathway5,Brain,Limited,5975,1.2,6.77,4.25,6.74,62.9,55
G8928,Pathway7,Brain,Noevidence,4497,1.11,6.57,4.11,6.6,62.4,57
G53109,Pathway6,Liver,Limited,2616,0.8,5.84,3.65,5.77,62.9,61
G15191,Pathway6,Liver,Moderate,6099,1.29,6.98,4.3,7.04,61.3,58
G8062,Pathway3,Liver,Noevidence,583,0.27,4.14,2.57,4.16,61.9,54
G36180,Pathway3,Brain,Noevidence,930,0.45,4.97,3.01,4.93,60.8,56
G31774,Pathway3,Liver,Moderate,773,0.32,4.38,2.76,4.34,63.3,57
G40332,Pathway2,Brain,Moderate,1128,0.5,5.06,3.12,5.1,61.4,63
G18910,Pathway6,Lymphnode,Limited,7760,1.3,7,4.31,6.95,61.8,58
G25669,Pathway3,Liver,Limited,14586,1.5,7.32,4.51,7.34,61.5,58
G34960,Pathway5,Liver,Limited,471,0.32,4.33,2.72,4.35,62.7,58
G28790,Pathway1,Brain,Moderate,681,0.37,4.61,2.82,4.64,61,62
G10039,Pathway4,Brain,Strong,417,0.3,4.26,2.7,4.29,63.2,55
G26196,Pathway5,Skin,Noevidence,15562,2.01,8.24,4.94,8.2,60.1,57
G52487,Pathway5,Liver,Noevidence,2522,0.71,5.71,3.52,5.75,61.4,57
G24663,Pathway6,Brain,Noevidence,13006,2.15,8.38,5.09,8.33,60.9,56
G39996,Pathway3,Liver,Noevidence,1107,0.41,4.79,2.99,4.76,62.6,57
G49700,Pathway6,Brain,Moderate,2147,0.7,5.61,3.55,5.66,63,56
G45206,Pathway2,Liver,Noevidence,1656,0.51,5.09,3.14,5.12,61.5,57
G652,Pathway2,Brain,Moderate,2844,0.73,5.92,3.43,5.96,57.7,61
G51094,Pathway3,Brain,Noevidence,2335,0.71,5.79,3.53,5.81,60.9,56
G8167,Pathway3,Blood,Noevidence,4362,0.72,5.78,3.53,5.8,61,56
G15730,Pathway5,Skin,Definitive,6291,1.51,7.06,4.6,6.96,65.4,60
G28549,Pathway6,Kidney,Moderate,675,0.3,4.31,2.58,4.28,60.1,63
G42889,Pathway1,Skin,Noevidence,1359,0.51,5.23,3.11,5.17,59.8,55
G21381,Pathway1,Brain,Moderate,626,0.34,4.44,2.8,4.48,62.8,58
G22250,Pathway4,Kidney,Noevidence,10304,1.23,6.93,4.22,6.9,61,57
G24050,Pathway2,Skin,Moderate,633,0.38,4.61,2.85,4.65,61.6,57
G27534,Pathway1,Skin,Limited,18286,2.03,8.04,5,7.98,62.4,59
G15430,Pathway5,Breast,Moderate,6177,1.2,6.77,4.21,6.81,62,57
G33381,Pathway6,Kidney,Limited,827,0.41,4.76,2.96,4.78,62.1,58
G18724,Pathway6,Brain,Limited,7644,1.75,7.83,4.75,7.79,60.8,58
G18884,Pathway5,Breast,Noevidence,7743,1.24,6.95,4.26,6.87,61.6,56
G35460,Pathway1,Liver,Limited,901,0.43,4.89,2.93,4.93,59.7,59
G2636,Pathway5,Breast,Noevidence,3229,0.71,5.73,3.54,5.75,61.7,55
G45588,Pathway3,Breast,Limited,1689,0.57,5.35,3.22,5.4,59.9,59
G919,Pathway7,Skin,Noevidence,2879,1.02,6.53,3.93,6.5,60.3,54
G23550,Pathway3,Brain,Moderate,11560,1.51,7.28,4.58,7.31,62.8,59
G9145,Pathway1,Skin,Moderate,4538,1.01,6.37,4.03,6.33,63.5,61
G8684,Pathway6,Skin,Noevidence,4457,1.11,6.66,4.11,6.62,61.9,57
G26328,Pathway4,Skin,Strong,15832,2.01,7.95,5.07,8,63.6,59
G23381,Pathway5,Breast,Limited,631,0.36,4.6,2.79,4.63,60.5,59
G43557,Pathway2,Brain,Noevidence,1429,0.52,5.15,3.23,5.11,63,54
G26541,Pathway3,Skin,Moderate,16210,2.09,8.14,5.06,8.06,62.5,60
G37844,Pathway1,Liver,Noevidence,1002,0.33,4.45,2.77,4.41,62.5,55
G42426,Pathway3,Brain,Moderate,1312,0.51,5.12,3.21,5.06,63.1,54
G27205,Pathway5,Skin,Limited,17522,2.52,8.72,5.43,8.66,62.4,57
G47901,Pathway6,Brain,Strong,1914,0.76,5.73,3.68,5.75,64.1,59
G38549,Pathway2,Breast,Noevidence,1033,0.34,4.5,2.75,4.46,61.4,57
G4186,Pathway5,Brain,Noevidence,3557,0.88,6.13,3.79,6.17,61.6,56
G24922,Pathway5,Lymphnode,Moderate,13369,1.53,7.34,4.6,7.25,63.1,57
G35782,Pathway3,Blood,Noevidence,912,0.32,4.4,2.71,4.43,61.4,56
